ID	English	Luang Nam Tha, Laos                                                                                                                                          	SID	SCategory	NewCategory	Note
459	to be tall	gjaŋ³⁵	439	Dimensions	Dimensions	
460	to be short (height)	ha:³⁵	440	Dimensions	Dimensions	
461	to be thick	hu³⁵	441	Dimensions	Dimensions	
462	to be thin	fa²¹	442	Dimensions	Dimensions	
463	to be fat	kun²¹	443	Dimensions	Dimensions	
464	to be wide, broad	gwaŋ³³	444	Dimensions	Dimensions	
465	to be narrow	ȡɛp³¹	445	Dimensions	Dimensions	
466	to be deep	du⁵³	446	Dimensions	Dimensions	
467	to be shallow	gjaŋ³³	447	Dimensions	Dimensions	
468	to be round	klun³¹	448	Dimensions	Dimensions	
469	to be full	pɔŋ³³	449	Dimensions	Dimensions	
470	right side	bjaw³¹fa:n¹³	450	Dimensions	Direction	
471	left side	θaj³³fa:n¹³	451	Dimensions	Direction	
472	to be straight	dɛŋ³¹	452a	Dimensions	Dimensions	
473	to be straight	saŋ¹³	452b	Dimensions	Dimensions	
474	to be far	ku⁵³	453	Dimensions	Dimensions	
475	to be near	θat²¹	454	Dimensions	Dimensions	
476	this	ne³³	455	Dimensions	Direction	
477	that	wa:³³	456	Dimensions	Direction	
478	black	kja⁵³	457	Appearance	Descriptions	
479	white	pɛ²¹	458	Appearance	Descriptions	
480	red	θi³⁵	459	Appearance	Descriptions	
481	green	mɛŋ⁵³	460	Appearance	Descriptions	
482	yellow	wa:ŋ³¹	461	Appearance	Descriptions	
483	to be dirty	klu³¹	462	Appearance	Descriptions	
484	to be new	saŋ³⁵	463	Appearance	Descriptions	
485	to be old	lu³³ȵaŋ⁵³	464	Appearance	Descriptions	
486	to be dark	ȡam²¹	465	Appearance	Descriptions	
487	to be bright	gwaŋ⁵³daŋ³⁵	466	Appearance	Descriptions	
488	to be sweet	ka:m⁵³	467	Taste/Feel	Descriptions	
489	to be sour	θuj³⁵	468	Taste/Feel	Descriptions	
490	to be bitter	im⁵³	469	Taste/Feel	Descriptions	
491	to be spicy, hot	bja:t³¹	470	Taste/Feel	Descriptions	
492	to be rotten	-------	471	Taste/Feel	Descriptions	
493	to be ripe	-------	472	Taste/Feel	Descriptions	
494	to be dry	ga:j³⁵	473	Taste/Feel	Descriptions	
495	to be wet	dɔn⁵³	474	Taste/Feel	Descriptions	
496	to be hot	kjom⁵³	475	Taste/Feel	Descriptions	
497	to be cold	nam¹³	476	Taste/Feel	Descriptions	
498	to be sharp	gjaj²¹	477	Taste/Feel	Descriptions	
499	to be blunt	plun¹³	478	Taste/Feel	Descriptions	
500	to be heavy	ni¹¹	479	Taste/Feel	Descriptions	
501	to be hard	ȵɛŋ³¹	480	Taste/Feel	Descriptions	
502	to be smooth	ðɛŋ³³ðo²¹	481	Taste/Feel	Descriptions	
503	to be fast	kan³³	482	Other Qualities	Descriptions	
504	to be slow	man¹¹	483	Other Qualities	Descriptions	
505	to be strong	ȵɛŋ³³ga:ŋ³¹	484a	Other Qualities	Descriptions	
506	to be strong	kjoŋ³³paŋ³⁵	484b	Other Qualities	Descriptions	
507	to be weak	də.maj³³nup³⁵	485	Other Qualities	Descriptions	
508	to be blind	məj²¹bu¹¹	486	Other Qualities	Descriptions	
509	to be deaf	mə.nɔm³¹duŋ⁵³	487	Other Qualities	Descriptions	
510	bald	pje³³ȡa:n³³	488	Other Qualities	Descriptions	
511	naked	ȶe³³blan⁵³	489	Other Qualities	Descriptions	
512	to be good	gɔŋ¹³	490	Other Qualities	Descriptions	
513	to be bad	ma³¹gɔŋ¹³	491	Other Qualities	Descriptions	
514	to be correct	hɔ³³ȡo²¹	492	Other Qualities	Descriptions	
515	to be wrong	pɛw³³	493	Other Qualities	Descriptions	
516	warm	kjom⁵³bɔŋ³¹	494	Other Qualities	Descriptions	
517	cool	θiŋ¹³	495	Other Qualities	Descriptions	
518	difficult	ȶo²¹	496	Other Qualities	Descriptions	
519	easy	həj¹¹	497	Other Qualities	Descriptions	
520	loose	lɔm¹¹	498	Other Qualities	Descriptions	
521	when	toj³¹nɔj³⁵	499	Question Words	Question Words	
522	where	jam⁵³ti¹³	500	Question Words	Question Words	
523	who	man³⁵	501	Question Words	Question Words	
524	what	ȵin³⁴¹to³⁵	502	Question Words	Question Words	
525	how many	bu³¹la:j³⁵	503	Question Words	Question Words	
